Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($)
2025-11-06 17:30,2025-11-07 18:30,SHORT,100,41.02999877929688,42.040000915527344,-101.0
2025-11-07 19:00,2025-11-10 15:00,LONG,200,41.95000076293945,43.79999923706055,370.0
2025-11-10 15:30,2025-11-11 15:30,SHORT,100,44.33000183105469,42.790000915527344,154.0
2025-11-11 16:00,2025-11-12 16:00,SHORT,100,42.60499954223633,41.45000076293945,115.5
2025-11-12 16:30,2025-11-13 17:30,SHORT,100,41.150001525878906,39.85499954223633,129.5
2025-11-13 18:00,2025-11-14 14:30,SHORT,100,39.334999084472656,35.95000076293945,338.5
2025-11-14 15:00,2025-11-14 19:00,SHORT,100,36.8650016784668,35.72999954223633,113.5
2025-11-14 19:30,2025-11-17 14:30,SHORT,100,36.24140167236328,34.970001220703125,127.14
2025-11-17 15:00,2025-11-17 18:00,SHORT,100,35.459999084472656,33.939998626708984,152.0
2025-11-17 18:30,2025-11-19 16:00,SHORT,100,33.689998626708984,31.809999465942383,188.0
2025-11-19 16:30,2025-11-20 17:00,SHORT,100,31.649999618530277,30.290000915527344,136.0
2025-11-20 17:30,2025-11-21 15:00,SHORT,100,29.780000686645508,28.34000015258789,144.0
2025-11-21 15:30,2025-11-21 17:30,SHORT,100,27.440000534057617,28.56999969482422,-113.0
2025-11-21 18:00,2025-11-24 16:00,LONG,200,28.309999465942383,29.43000030517578,224.0
2025-11-24 16:30,2025-11-24 20:30,SHORT,100,29.86000061035156,30.90999984741211,-105.0
2025-11-25 14:30,2025-11-26 17:30,LONG,200,29.13999938964844,30.174999237060547,207.0
2025-11-26 18:00,2025-11-28 15:00,SHORT,100,31.0,32.689998626708984,-169.0
2025-11-28 15:30,2025-11-28 16:30,LONG,200,32.974998474121094,31.91349983215332,-212.3
2025-11-28 17:00,2025-12-01 15:00,SHORT,400,31.71999931335449,28.32999992370605,1356.0
2025-12-01 15:30,2025-12-02 15:00,SHORT,100,27.479999542236328,30.364999771118164,-288.5
2025-12-02 15:30,2025-12-02 17:30,LONG,200,30.959999084472656,32.0099983215332,210.0
2025-12-02 18:00,2025-12-03 18:00,SHORT,100,31.780000686645508,32.81999969482422,-104.0
2025-12-03 18:30,2025-12-04 19:30,LONG,200,32.94499969482422,31.649999618530277,-259.0
2025-12-04 20:00,2025-12-05 15:00,SHORT,400,32.11000061035156,30.959999084472656,460.0
2025-12-05 15:30,2025-12-05 16:30,SHORT,100,31.6200008392334,30.040000915527344,158.0
2025-12-05 17:00,2025-12-08 15:00,SHORT,100,29.864999771118164,31.229999542236328,-136.5
2025-12-08 15:30,2025-12-09 16:00,LONG,200,30.600000381469727,32.52000045776367,384.0
2025-12-09 16:30,2025-12-10 15:00,SHORT,100,33.0,31.84499931335449,115.5
2025-12-10 15:30,2025-12-10 20:30,SHORT,100,31.934999465942383,33.130001068115234,-119.5
2025-12-11 14:30,2025-12-12 14:30,LONG,200,30.690000534057617,32.060001373291016,274.0
2025-12-12 15:00,2025-12-12 15:30,SHORT,100,32.275001525878906,31.1299991607666,114.5
2025-12-12 16:00,2025-12-15 15:00,SHORT,100,30.46999931335449,28.459999084472656,201.0
2025-12-15 15:30,2025-12-17 15:00,SHORT,100,27.63999938964844,29.34000015258789,-170.0
2025-12-17 15:30,2025-12-17 16:00,LONG,200,29.549999237060547,27.729999542236328,-364.0
2025-12-17 16:30,2025-12-18 15:00,SHORT,400,27.190000534057617,28.450000762939453,-504.0
2025-12-18 15:30,2025-12-18 17:30,LONG,800,28.600000381469727,26.887544631958008,-1369.96
2025-12-18 18:00,2025-12-18 20:00,SHORT,1600,27.26000022888184,26.01499938964844,1992.0
2025-12-18 20:30,2025-12-19 15:00,SHORT,100,26.309999465942383,28.34000015258789,-203.0
2025-12-19 15:30,2025-12-22 15:00,LONG,200,28.280000686645508,29.55500030517578,255.0
2025-12-22 15:30,2025-12-22 20:00,SHORT,100,29.225000381469727,28.165000915527344,106.0
2025-12-22 20:30,2026-01-02 16:30,SHORT,100,28.190000534057617,29.43000030517578,-124.0
2026-01-02 17:00,2026-01-05 15:00,LONG,200,29.649999618530277,31.65999984741211,402.0
2026-01-05 15:30,2026-01-06 18:00,SHORT,100,31.56679916381836,30.170000076293945,139.68
