Date,close,high,low,open,volume,openinterest
2010-02-11,0.2063959687948227,0.2075144204938008,0.1935222201503908,0.19414443543168142,6912000,0
2010-02-12,0.20724055171012878,0.20902989539653763,0.19961174095298714,0.2007798220769356,17203200,0
2010-02-16,0.21526825428009033,0.21576544346150348,0.20878175781180638,0.2121123266468255,19238400,0
2010-02-17,0.21892133355140686,0.21897094864861774,0.2148702445106394,0.2181511974609371,38361600,0
2010-02-18,0.22307172417640686,0.22438867906984153,0.2173801781696731,0.218698085832548,77721600,0
2010-02-19,0.22307172417640686,0.22597953384668454,0.21986616694583616,0.22155531339985682,92966400,0
2010-02-22,0.22150571644306183,0.22570566695390226,0.21899586540271831,0.22570566695390226,50995200,0
2010-02-23,0.2128576636314392,0.22148086688753107,0.209925039327659,0.2202879711210084,82252800,0
2010-02-24,0.21929454803466797,0.22180439887195866,0.2154419747801063,0.2166100559696284,70617600,0
2010-02-25,0.2191694974899292,0.22066109343399798,0.2080364304789949,0.2122860092373416,91238400,0
2010-02-26,0.22190365195274353,0.22282361487612173,0.2163619322735911,0.21852345337040854,57600000,0
2010-03-01,0.23142202198505402,0.23236678537149616,0.22471220681355278,0.22471220681355278,28454400,0
2010-03-02,0.23281338810920715,0.2378340563291498,0.23219212556688332,0.2334594653177175,48422400,0
2010-03-03,0.23410648107528687,0.23746089758369593,0.23184474881861547,0.23542343585805897,47961600,0
2010-03-04,0.23669080436229706,0.23701335238109986,0.23127314381386935,0.2349262610718841,29452800,0
2010-03-05,0.24715296924114227,0.24824660634291054,0.24044316873958774,0.24173532317343266,26880000,0
2010-03-08,0.24847088754177094,0.2502602169473388,0.24737722201483406,0.24737722201483406,25344000,0
2010-03-09,0.25286930799484253,0.25674574252037236,0.24690482967145197,0.24710331854549025,46425600,0
2010-03-10,0.2590571343898773,0.26059834564402984,0.25304302603403506,0.25321765303349064,40089600,0
2010-03-11,0.2614429295063019,0.26181607384890737,0.25577713652433026,0.25749206469280783,53913600,0
2010-03-12,0.2620394229888916,0.26432595623259697,0.2590323684108408,0.26432595623259697,36134400,0
2010-03-15,0.26027482748031616,0.2620641853854187,0.25473312219844013,0.26029965636772223,42393600,0
2010-03-16,0.2651962637901306,0.2659415854612042,0.26010116566726466,0.2628352726734968,46579200,0
2010-03-17,0.26703521609306335,0.27081239223932857,0.26482311303089573,0.265941579005295,39820800,0
2010-03-18,0.2697436213493347,0.27058914033301484,0.2661897340459032,0.26795426325258626,52185600,0
2010-03-19,0.2649719715118408,0.27270100764664457,0.2621395729085652,0.2649719715118408,40051200,0
2010-03-22,0.2721293568611145,0.2753110376821021,0.2608712635426076,0.26186567033821867,58790400,0
2010-03-23,0.2778208553791046,0.27841731736455955,0.2697435337256073,0.27399308362455455,55334400,0
2010-03-24,0.2738690674304962,0.2764543147367833,0.27212936740653254,0.27585788109878784,89241600,0
2010-03-25,0.27215418219566345,0.28348670632363987,0.27193086441528236,0.2805540819873643,93926400,0
2010-03-26,0.27357131242752075,0.27881433113428455,0.2692711656595175,0.27603156201097107,84288000,0
2010-03-29,0.27732372283935547,0.28015708863884864,0.27528627506982345,0.2776968671864375,38054400,0
2010-03-30,0.2802315354347229,0.2826421274530294,0.2745399751795083,0.27961027287487145,39897600,0
2010-03-31,0.2764543294906616,0.28082796783627445,0.27453997393699275,0.27710042093491505,59558400,0
2010-04-01,0.2759074866771698,0.2848790184467833,0.26971872386717227,0.2795358028463171,116620800,0
2010-04-05,0.2838846445083618,0.285549943246396,0.2758578892329631,0.27792016574814754,67584000,0
2010-04-06,0.2860471308231354,0.28863143977038225,0.2799328252478269,0.2817221831750608,58713600,0
2010-04-07,0.28443145751953125,0.28818383295790095,0.27946135752706536,0.28507752046260976,106252800,0
2010-04-08,0.28545069694519043,0.28711502876545364,0.27724928588188036,0.2815484945311472,69657600,0
2010-04-09,0.2905944883823395,0.2912901808066957,0.28418243456377273,0.2863945379558664,58099200,0
2010-04-12,0.29176250100135803,0.29399943264848627,0.289675395880155,0.29158881258187713,48806400,0
2010-04-13,0.2961618900299072,0.2966333259370997,0.2881837986021752,0.2908186748199561,67238400,0
2010-04-14,0.30659934878349304,0.30684746702645394,0.29976546021269834,0.3003867228100433,61094400,0
2010-04-15,0.31070002913475037,0.3118432956148892,0.3060028756562856,0.30627676132730747,45772800,0
2010-04-16,0.299640417098999,0.31042610752131544,0.2938753661389672,0.3074190536641738,129484800,0
2010-04-19,0.29916903376579285,0.3019022024644748,0.28828311578002064,0.29683287133001307,112742400,0
2010-04-20,0.3035922944545746,0.30568033859058047,0.29812499020023353,0.3038155838086994,56102400,0
2010-04-21,0.3089354336261749,0.3115693429239224,0.30319424513162246,0.30975518492397186,83980800,0
2010-04-22,0.31350862979888916,0.3145516991776625,0.29479444355646245,0.2999143712883446,122841600,0
2010-04-23,0.31765884160995483,0.31865228130618767,0.31010352367968685,0.31380626938516215,82368000,0
2010-04-26,0.3152979016304016,0.32026800187913834,0.31375669047127874,0.3178822104177214,80524800,0
2010-04-27,0.29583844542503357,0.315570869854335,0.29325416490562467,0.3122412392048194,133747200,0
2010-04-28,0.29653406143188477,0.3006843810328406,0.28935185952992637,0.3003866335415956,125068800,0
2010-04-29,0.31166958808898926,0.31316023138193755,0.30063481186921126,0.3006596407556255,84748800,0
2010-04-30,0.29330378770828247,0.3126630976849686,0.29253269852459435,0.31119725464397996,88512000,0
2010-05-03,0.3052823543548584,0.3097055933085244,0.2966581703421141,0.29673356710702603,52608000,0
2010-05-04,0.27829328179359436,0.2937512956671862,0.2716569448432376,0.2937255282342048,137241600,0
2010-05-05,0.2737202048301697,0.2786158467499291,0.2644251574123685,0.26956988453280445,138508800,0
2010-05-06,0.2469048649072647,0.27580731207177916,0.1689934201883122,0.26807830381272835,217804800,0
2010-05-07,0.22893695533275604,0.24934027085404786,0.21300653675795883,0.24036873796610359,248256000,0
2010-05-10,0.26308339834213257,0.2638535489222244,0.2564232269087864,0.2578394405110491,189273600,0
2010-05-11,0.2629096806049347,0.27337185610564874,0.2541614660846425,0.25565304785183723,147033600,0
2010-05-12,0.2770755887031555,0.27764722191974656,0.265518808377643,0.2665132152528552,108556800,0
2010-05-13,0.26455017924308777,0.2801819123644982,0.2628849088613985,0.2744159222001629,105561600,0
2010-05-14,0.2482714205980301,0.2584110482472484,0.2398218920553169,0.25806367137746544,154176000,0
2010-05-17,0.2516268193721771,0.254410555841764,0.2355971553547115,0.25068204177370546,136857600,0
2010-05-18,0.24200917780399323,0.25920691978655375,0.2375849579698416,0.25776493898954606,190617600,0
2010-05-19,0.23562197387218475,0.243549471177643,0.22722205931889233,0.23783407712731233,237772800,0
2010-05-20,0.2117888331413269,0.22294766902358565,0.20739038005256727,0.22135681421848186,272985600,0
2010-05-21,0.2134292870759964,0.22001502815681473,0.1967783622195961,0.19889025377564318,234316800,0
2010-05-24,0.21519382297992706,0.22254970059301216,0.21270878703431934,0.21459737510456942,155020800,0
2010-05-25,0.21367742121219635,0.2143483131141844,0.19285135981213825,0.19921378359941377,172646400,0
2010-05-26,0.2070668786764145,0.2259051087252365,0.20547699075658452,0.21698319007556477,208320000,0
2010-05-27,0.22948375344276428,0.23005540082731948,0.21907024050635515,0.22085959821173548,173222400,0
2010-05-28,0.22627729177474976,0.23164532303094312,0.21994062102356218,0.23099924577778572,166694400,0
2010-06-01,0.2200150042772293,0.23544823130175424,0.21869804960196773,0.22389143853549087,202713600,0
2010-06-02,0.23549790680408478,0.23549790680408478,0.21889660882253223,0.22366819237601282,113433600,0
2010-06-03,0.24161122739315033,0.24295301111432427,0.23276376810191093,0.23723760346355882,114854400,0
2010-06-04,0.21775329113006592,0.23547306642929763,0.21457254881675938,0.22645190478907398,245952000,0
2010-06-07,0.20512862503528595,0.2222767527074974,0.20478029540409506,0.21986614670257462,168729600,0
2010-06-08,0.20398537814617157,0.20796201027576194,0.1958584112190692,0.20659447327485966,265920000,0
2010-06-09,0.19948671758174896,0.21395132226303218,0.19720113740596787,0.2081108881223912,229440000,0
2010-06-10,0.21603840589523315,0.21646116533303716,0.20475551123957858,0.20644559622136632,155520000,0
2010-06-11,0.22168032824993134,0.22254970904512317,0.20932859662052028,0.20932859662052028,125337600,0
2010-06-14,0.22180435061454773,0.2326396696518236,0.22090920253112217,0.228266046194521,227404800,0
2010-06-15,0.23800772428512573,0.2405920044558429,0.22481141392699866,0.2254823057439474,200102400,0
2010-06-16,0.242804154753685,0.2460354939186847,0.23664118643038157,0.23780926764408492,158361600,0
2010-06-17,0.24523954093456268,0.2469792693933722,0.23892768549668247,0.24660612508440405,163046400,0
2010-06-18,0.24591048061847687,0.2508567198584219,0.2434502589388269,0.24650694281129815,139584000,0
2010-06-21,0.23944878578186035,0.25597566817779743,0.23539866207150367,0.2548820025259028,219916800,0
2010-06-22,0.23378297686576843,0.24747647736963363,0.23256526646523,0.24220769100625245,179596800,0
2010-06-23,0.23065185546875,0.23706295523549506,0.22540786973913157,0.23465234918683595,224716800,0
2010-06-24,0.21946820616722107,0.22988076665241586,0.2182008664792822,0.22789292001360345,239424000,0
2010-06-25,0.21931931376457214,0.2248114030211337,0.21464697582861963,0.2223263674067328,177561600,0
2010-06-28,0.21735534071922302,0.2227739532644367,0.21263432597641013,0.21949301382848782,164160000,0
2010-06-29,0.1931004375219345,0.20751444630113886,0.18738407655039696,0.20714131617209783,438220800,0
2010-06-30,0.18355724215507507,0.1956599023039527,0.182040831418494,0.1902174274368743,183667200,0
2010-07-01,0.18176788091659546,0.18611670405761035,0.1711310646539418,0.1845754788042829,252326400,0
2010-07-02,0.18077352643013,0.1843522140825455,0.17520699182051122,0.1822403080011353,147379200,0
2010-07-06,0.18171827495098114,0.19113642862138375,0.1771451810576824,0.18768275341604587,156556800,0
2010-07-07,0.19889026880264282,0.19943710158965552,0.18283674335866865,0.18328336470733742,160780800,0
2010-07-08,0.20224562287330627,0.20445773992206734,0.19523712287567999,0.20366183625142076,207360000,0
2010-07-09,0.207912415266037,0.20875698146726898,0.2006548284235968,0.2017236651971315,142656000,0
2010-07-12,0.21027334034442902,0.21340445311268683,0.2058739352135319,0.20714127480687156,98918400,0
2010-07-13,0.21745558083057404,0.2202383788753993,0.21054632373801357,0.21519384817467252,174144000,0
2010-07-14,0.22093403339385986,0.22463774654476262,0.21648596562145256,0.2193193310676602,109516800,0
2010-07-15,0.22170516848564148,0.22364338618533933,0.2128576934430862,0.2200150690446439,114201600,0
2010-07-16,0.2038613110780716,0.22003984753103714,0.2028917188926613,0.21976596187785377,181363200,0
2010-07-19,0.20845918357372284,0.20975132361777638,0.2000831468609275,0.20502937049844383,124224000,0
2010-07-20,0.21504494547843933,0.21591432622555398,0.19653023277647044,0.1981201347172321,127948800,0
2010-07-21,0.2075144499540329,0.22317098418720438,0.20612306518370802,0.22317098418720438,172492800,0
2010-07-22,0.22150571644306183,0.22578106373465595,0.21561663345174542,0.21561663345174542,126451200,0
2010-07-23,0.2272716909646988,0.22754557664802352,0.21718169119743033,0.21839940173475014,138854400,0
2010-07-26,0.23226654529571533,0.232913575206035,0.22508435686635353,0.22826605179305315,100761600,0
2010-07-27,0.232216939330101,0.2367404041006238,0.22930912973884157,0.23569638212908858,119692800,0
