Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-10-15 17:30,2025-10-20 14:30,LONG,100,50.53995132446289,53.82500076293945,328.5,100318.07
2025-10-20 15:00,2025-10-27 14:00,LONG,100,54.02000045776367,57.47249984741211,345.25,100652.17
2025-10-27 14:30,2025-10-29 14:00,LONG,100,57.60499954223633,60.63999938964844,303.5,100943.84
2025-10-29 14:30,2025-11-04 16:00,LONG,100,60.48899841308594,56.994998931884766,-349.4,100582.7
2025-11-04 16:30,2025-11-06 16:00,SHORT,200,56.875,53.744998931884766,626.0,101186.57
2025-11-06 16:30,2025-11-07 16:00,SHORT,100,53.93999862670898,50.70000076293945,324.0,101500.11
2025-11-07 16:30,2025-11-10 15:00,SHORT,100,50.523250579833984,55.84505081176758,-532.18,100957.29
2025-11-10 15:30,2025-11-13 18:00,LONG,200,55.89500045776367,52.595001220703125,-660.0,100275.59
2025-11-13 18:30,2025-11-18 15:00,SHORT,400,52.15499877929688,48.77999877929688,1350.0,101585.22
2025-11-18 15:30,2025-11-20 15:00,SHORT,100,48.91999816894531,53.33000183105469,-441.0,101133.99
2025-11-20 15:30,2025-11-20 17:00,LONG,200,53.23500061035156,48.970001220703125,-853.0,100260.55
2025-11-20 17:30,2025-11-25 17:30,SHORT,400,48.31999969482422,51.47999954223633,-1264.0,98956.63
2025-11-25 18:00,2025-12-01 14:30,LONG,800,51.45500183105469,53.11000061035156,1324.0,100196.98
2025-12-01 15:00,2025-12-05 15:30,LONG,100,53.84000015258789,56.869998931884766,303.0,100488.91
2025-12-05 16:00,2025-12-12 16:00,LONG,100,56.2599983215332,53.02999877929688,-323.0,100154.98
2025-12-12 16:30,2025-12-17 19:00,SHORT,200,52.93000030517578,49.83000183105469,620.0,100754.43
2025-12-17 19:30,2025-12-19 15:00,SHORT,100,49.72999954223633,53.38999938964844,-366.0,100378.12
2025-12-19 15:30,2026-01-07 17:30,LONG,200,53.06999969482422,56.1150016784668,609.0,100965.28
